epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26584,1.82238,2.61052,2.58388,0.48396,0.37949,0.34449,0.1915,1.57227,2.37306,2.84995,0.0672821,0.000330484,0.000330484
2,16.7039,1.62893,1.91744,2.47165,0.66806,0.45614,0.54431,0.298,1.45641,1.82598,2.65559,0.034282,0.000663746,0.000663746
3,24.2401,1.5574,1.74505,2.47816,0.6313,0.5287,0.61738,0.3787,1.4729,1.68643,2.64095,0.00128162,0.000996718,0.000996718
4,31.7903,1.51237,1.64359,2.439,0.53148,0.65854,0.6252,0.38318,1.37661,1.44526,2.69605,0.000999023,0.000999023,0.000999023
5,39.3071,1.49248,1.56774,2.42192,0.66689,0.4996,0.621,0.38452,1.34153,1.39606,2.59538,0.000998264,0.000998264,0.000998264
6,46.9818,1.44695,1.4932,2.39382,0.73589,0.58599,0.65298,0.40894,1.33304,1.47407,2.61036,0.000997288,0.000997288,0.000997288
7,54.6739,1.4238,1.43917,2.3627,0.7536,0.56173,0.67541,0.43496,1.32064,1.33334,2.62211,0.000996097,0.000996097,0.000996097
8,62.5412,1.41433,1.41962,2.36281,0.70656,0.54096,0.62692,0.41528,1.34419,1.49422,2.74178,0.00099469,0.00099469,0.00099469
9,70.4022,1.3854,1.38122,2.36433,0.61354,0.7538,0.69624,0.46555,1.27947,1.35033,2.64364,0.000993068,0.000993068,0.000993068
10,78.1666,1.39682,1.35431,2.35799,0.72487,0.62364,0.71229,0.44922,1.25,1.18276,2.50288,0.000991232,0.000991232,0.000991232
11,85.9682,1.36263,1.30845,2.31308,0.67188,0.62299,0.71162,0.45289,1.26704,1.22649,2.62815,0.000989183,0.000989183,0.000989183
12,93.7442,1.35339,1.30173,2.33017,0.75784,0.68022,0.72258,0.47789,1.24121,1.16689,2.59545,0.000986922,0.000986922,0.000986922
13,101.531,1.34936,1.28634,2.33431,0.67179,0.76178,0.70948,0.44558,1.30749,1.16464,2.49197,0.000984449,0.000984449,0.000984449
14,109.739,1.32998,1.2695,2.32177,0.68433,0.69718,0.70869,0.48888,1.22968,1.18532,2.50168,0.000981765,0.000981765,0.000981765
15,118.115,1.30876,1.21973,2.28108,0.73306,0.67313,0.73403,0.48703,1.22784,1.16748,2.53668,0.000978873,0.000978873,0.000978873
16,126.441,1.31949,1.21296,2.27769,0.68024,0.74791,0.73901,0.50133,1.22559,1.16372,2.6353,0.000975773,0.000975773,0.000975773
17,134.852,1.29214,1.19369,2.27445,0.68257,0.66095,0.69332,0.4611,1.23142,1.16612,2.69321,0.000972466,0.000972466,0.000972466
18,142.951,1.28155,1.17326,2.28098,0.65812,0.73848,0.71646,0.48519,1.22954,1.16238,2.71008,0.000968955,0.000968955,0.000968955
