epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.4814,0.95397,0.71705,2.08979,0.77355,0.7732,0.78098,0.58374,1.18412,1.01773,2.33327,0.000254142,0.000254142,0.000254142
2,16.1301,0.9488,0.72789,1.99251,0.78253,0.77122,0.79213,0.59568,1.17888,1.01585,2.32455,0.000505422,0.000505422,0.000505422
3,23.7011,0.96084,0.73041,2.00734,0.70807,0.74273,0.74532,0.55181,1.20352,1.08647,2.3498,0.000751626,0.000751626,0.000751626
4,31.2332,0.96381,0.72511,1.97867,0.76524,0.76107,0.76369,0.57342,1.20236,1.06131,2.34756,0.000746161,0.000746161,0.000746161
5,38.8516,0.96045,0.73462,1.97929,0.80054,0.75378,0.8074,0.60298,1.21906,1.09184,2.35841,0.000738548,0.000738548,0.000738548
6,46.8633,0.95537,0.73211,1.97446,0.7457,0.78757,0.77853,0.57139,1.23645,1.12285,2.40499,0.000730935,0.000730935,0.000730935
7,55.1038,0.95399,0.73201,1.98238,0.75929,0.74798,0.76314,0.55732,1.20181,1.06328,2.3365,0.000723321,0.000723321,0.000723321
8,63.0016,0.94048,0.70764,1.95038,0.73624,0.73042,0.74978,0.53943,1.22713,1.13737,2.34846,0.000715708,0.000715708,0.000715708
9,71.1661,0.93789,0.72091,1.95828,0.7109,0.78989,0.7666,0.57726,1.18142,1.03989,2.29161,0.000708095,0.000708095,0.000708095
10,79.2635,0.94092,0.71617,1.97444,0.75382,0.76676,0.78197,0.58467,1.18978,1.05296,2.30857,0.000700482,0.000700482,0.000700482
11,87.1059,0.92733,0.70854,1.95179,0.78373,0.76986,0.79259,0.5816,1.19581,1.05751,2.32345,0.000692869,0.000692869,0.000692869
12,95.0425,0.92779,0.70943,1.94837,0.76977,0.75574,0.76879,0.55855,1.19421,1.09342,2.33411,0.000685256,0.000685256,0.000685256
13,102.965,0.93414,0.7023,1.95835,0.73873,0.75355,0.75428,0.55384,1.19692,1.02691,2.31593,0.000677643,0.000677643,0.000677643
14,110.907,0.92164,0.6998,1.93166,0.7152,0.77678,0.76059,0.56236,1.18099,1.04533,2.28366,0.00067003,0.00067003,0.00067003
15,118.937,0.91837,0.6972,1.9469,0.75152,0.7576,0.75654,0.56419,1.19715,1.01981,2.34397,0.000662417,0.000662417,0.000662417
16,127.079,0.91633,0.68927,1.92004,0.75561,0.77828,0.7893,0.59576,1.19396,1.04147,2.3537,0.000654804,0.000654804,0.000654804
17,135.443,0.90348,0.6913,1.93424,0.77542,0.75422,0.76629,0.56282,1.21945,1.0503,2.39255,0.00064719,0.00064719,0.00064719
18,143.66,0.91593,0.68699,1.94761,0.77004,0.75856,0.76361,0.56498,1.19693,1.04271,2.34737,0.000639577,0.000639577,0.000639577
19,151.745,0.89821,0.6817,1.90648,0.77879,0.771,0.78689,0.59384,1.20756,1.04784,2.36999,0.000631964,0.000631964,0.000631964
20,159.707,0.90642,0.67098,1.92521,0.77453,0.74677,0.75933,0.56515,1.20709,1.02422,2.34592,0.000624351,0.000624351,0.000624351
21,167.917,0.89228,0.66567,1.92519,0.77232,0.75929,0.76461,0.58104,1.16865,1.03012,2.31115,0.000616738,0.000616738,0.000616738
22,176.384,0.89412,0.67508,1.8997,0.77107,0.74722,0.76525,0.58388,1.18433,1.03065,2.38289,0.000609125,0.000609125,0.000609125
23,184.759,0.89662,0.67649,1.90371,0.72619,0.72365,0.74515,0.5604,1.19966,1.07828,2.38017,0.000601512,0.000601512,0.000601512
24,193.109,0.88009,0.66857,1.8935,0.75161,0.78248,0.77844,0.5956,1.21202,1.11851,2.35635,0.000593899,0.000593899,0.000593899
25,201.32,0.89567,0.66919,1.91027,0.80233,0.70543,0.77001,0.57621,1.18703,1.04627,2.32381,0.000586286,0.000586286,0.000586286
26,209.196,0.88093,0.66453,1.90897,0.77179,0.77393,0.79741,0.58606,1.21896,1.07531,2.3667,0.000578672,0.000578672,0.000578672
27,217.097,0.8731,0.65482,1.88846,0.77613,0.72293,0.77213,0.57479,1.17904,1.05804,2.33956,0.000571059,0.000571059,0.000571059
28,224.972,0.87843,0.65002,1.90348,0.80555,0.71445,0.79423,0.5886,1.18537,1.05386,2.33365,0.000563446,0.000563446,0.000563446
29,232.836,0.86934,0.65119,1.88822,0.76313,0.69539,0.73395,0.55722,1.19717,1.03408,2.36337,0.000555833,0.000555833,0.000555833
30,240.692,0.85771,0.64281,1.87118,0.78125,0.72184,0.7498,0.5629,1.20382,1.06448,2.33848,0.00054822,0.00054822,0.00054822
31,248.637,0.86389,0.64763,1.89047,0.77557,0.711,0.75449,0.56233,1.19082,1.08922,2.34214,0.000540607,0.000540607,0.000540607
32,256.605,0.85769,0.64002,1.8908,0.74044,0.73898,0.74268,0.55547,1.1858,1.08799,2.32605,0.000532994,0.000532994,0.000532994
33,264.578,0.85261,0.63388,1.88011,0.75544,0.71292,0.76172,0.56956,1.20334,1.02228,2.3351,0.000525381,0.000525381,0.000525381
34,272.616,0.86612,0.64531,1.90464,0.76804,0.75963,0.77277,0.5814,1.19553,1.05349,2.35753,0.000517768,0.000517768,0.000517768
35,280.519,0.8498,0.63182,1.87238,0.79192,0.7427,0.76673,0.56763,1.18446,1.02761,2.3582,0.000510155,0.000510155,0.000510155
36,288.485,0.83908,0.62605,1.88153,0.81235,0.7289,0.76588,0.58013,1.17675,1.04589,2.3052,0.000502541,0.000502541,0.000502541
37,296.481,0.84393,0.63209,1.87052,0.78451,0.72665,0.75368,0.56524,1.18619,1.0632,2.35393,0.000494928,0.000494928,0.000494928
38,304.437,0.84939,0.62362,1.86983,0.78681,0.73662,0.77187,0.57239,1.20779,1.08304,2.38872,0.000487315,0.000487315,0.000487315
39,312.406,0.8469,0.63474,1.87655,0.74798,0.77453,0.7816,0.58826,1.21476,1.09515,2.39259,0.000479702,0.000479702,0.000479702
40,320.372,0.83941,0.63407,1.87015,0.79856,0.75251,0.79491,0.59883,1.19339,1.06939,2.34064,0.000472089,0.000472089,0.000472089
41,328.349,0.83216,0.61736,1.8585,0.77299,0.76482,0.77131,0.58419,1.16791,1.04043,2.33794,0.000464476,0.000464476,0.000464476
42,336.341,0.84076,0.62954,1.86749,0.76159,0.78994,0.79773,0.59401,1.17806,1.03727,2.35664,0.000456863,0.000456863,0.000456863
43,344.322,0.82979,0.61732,1.86102,0.75498,0.71178,0.74035,0.56195,1.19236,1.07594,2.38905,0.00044925,0.00044925,0.00044925
